name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист технической поддержки Terrasoft CRM (Creatio),100000.0,150000.0,RUR,Москва,2022-12-29T09:40:40+0300
Старший Продуктовый Дизайнер (МТС Music),250000.0,,RUR,Москва,2022-12-29T10:50:36+0300
Региональный директор,2000.0,,USD,Ташкент,2022-12-29T09:45:10+0300
Инженер - программист C++,85000.0,,RUR,Москва,2022-12-29T09:12:03+0300
Ведущий инженер по электротехнике ПрОф (Красноармейский район),68000.0,,RUR,Волгоград,2022-12-29T11:56:53+0300
Стажер на техническую поддержку корпоративного сайта (удаленно),,34600.0,RUR,Санкт-Петербург,2022-12-29T10:35:28+0300
Инженер по обеспечению информационной безопасности,50000.0,,RUR,Красноярск,2022-12-29T11:12:02+0300
Руководитель инженерного блока,96000.0,120000.0,RUR,Санкт-Петербург,2022-12-29T09:01:08+0300
"Испытатель деталей и приборов 4,5,6 разряда (в сборочный цех)",60000.0,80000.0,RUR,Челябинск,2022-12-29T11:32:44+0300
Автор статей / Копирайтер / СЕО-копирайтер,40000.0,60000.0,RUR,Москва,2022-12-29T09:00:06+0300
Механик холодильного оборудования,40000.0,,RUR,Саратов,2022-12-29T11:52:01+0300
"Администратор продуктов Atlassian (Jira, удалённо)",120000.0,150000.0,RUR,Москва,2022-12-29T11:18:33+0300
Оператор станков с ЧПУ,109000.0,,RUR,Ростов-на-Дону,2022-12-29T11:01:46+0300
Оператор станка с ЧПУ,75000.0,95000.0,RUR,Казань,2022-12-29T09:27:05+0300
Аналитик SQL,150000.0,200000.0,RUR,Москва,2022-12-29T10:12:27+0300
Корреспондент (Журналист),120000.0,,RUR,Москва,2022-12-29T06:47:34+0300
Механик/Наладчик технологического оборудования,2000.0,,BYR,Молодечно,2022-12-29T07:59:44+0300
Системный инженер / Junior DevOps,,130500.0,RUR,Москва,2022-12-29T10:21:56+0300
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий Java разработчик,40000.0,,RUR,Ростов-на-Дону,2022-12-29T10:06:35+0300
Разработчик PHP Laravel (удаленно),2500.0,3500.0,USD,Ташкент,2022-12-29T10:07:40+0300
Технический писатель (программной документации)/Аналитик,,230000.0,RUR,Москва,2022-12-29T09:57:10+0300
Менеджер СТПК Цех мониторинга сервисов,,309000.0,KZT,Алматы,2022-12-29T10:04:45+0300
Графический дизайнер с опытом работы в дизайне одежды,60000.0,90000.0,RUR,Москва,2022-12-29T09:58:45+0300
Программист (Junior) С / Linux,50000.0,70000.0,RUR,Рязань,2022-12-29T08:18:37+0300
